stress,strain,T,strainrate,porosity
296.7678382,0.011765147,25,1200,26
298.9587282,0.012128667,25,1200,26
300.3100424,0.012497089,25,1200,26
303.1212916,0.012870347,25,1200,26
305.5112362,0.013247621,25,1200,26
306.6464668,0.013628772,25,1200,26
309.4467325,0.014013876,25,1200,26
311.4120415,0.014402289,25,1200,26
313.3731687,0.014793981,25,1200,26
315.7487067,0.015189027,25,1200,26
317.496872,0.015586747,25,1200,26
320.0747304,0.01598682,25,1200,26
321.4032231,0.016388961,25,1200,26
323.5596678,0.016792885,25,1200,26
325.5080984,0.017198125,25,1200,26
327.2455056,0.017605115,25,1200,26
329.6040076,0.018013461,25,1200,26
331.9604473,0.018421973,25,1200,26
333.8994019,0.018830364,25,1200,26
336.8741807,0.019239066,25,1200,26
338.3958176,0.019647321,25,1200,26
340.9514872,0.020055056,25,1200,26
344.3347744,0.020462379,25,1200,26
346.8862435,0.020868711,25,1200,26
348.6087103,0.021273436,25,1200,26
352.1922882,0.021676659,25,1200,26
354.5327148,0.02207791,25,1200,26
357.4919135,0.022477583,25,1200,26
360.8633644,0.022874698,25,1200,26
362.1665702,0.023268744,25,1200,26
364.9158502,0.023660516,25,1200,26
367.4564079,0.024049721,25,1200,26
369.3770257,0.024436101,25,1200,26
370.8859163,0.024819108,25,1200,26
373.4243969,0.025199138,25,1200,26
374.7273478,0.025575606,25,1200,26
376.441504,0.025948617,25,1200,26
378.9785727,0.026318639,25,1200,26
380.4867575,0.026685488,25,1200,26
382.4054024,0.027049341,25,1200,26
384.323833,0.027409941,25,1200,26
385.2152101,0.027766919,25,1200,26
387.1336204,0.028121073,25,1200,26
389.0533032,0.028472255,25,1200,26
389.1227856,0.028820315,25,1200,26
391.2473131,0.02916587,25,1200,26
391.9336187,0.029508807,25,1200,26
392.4158752,0.029848869,25,1200,26
394.1293229,0.03018649,25,1200,26
394.8167974,0.030521815,25,1200,26
395.5061523,0.030854987,25,1200,26
395.9898936,0.031186113,25,1200,26
396.0638307,0.031515411,25,1200,26
396.5483286,0.031843134,25,1200,26
396.008889,0.032169868,25,1200,26
397.3134542,0.032495244,25,1200,26
398.6160542,0.032819444,25,1200,26
398.6911894,0.033142724,25,1200,26
399.3811868,0.033465632,25,1200,26
399.6603494,0.033787508,25,1200,26
400.3502549,0.034108535,25,1200,26
400.6292724,0.034429335,25,1200,26
400.9097357,0.034749797,25,1200,26
401.393799,0.035069665,25,1200,26
402.489359,0.035390112,25,1200,26
403.3806475,0.035710736,25,1200,26
404.0664967,0.036031132,25,1200,26
403.7336209,0.036351814,25,1200,26
405.2330236,0.036673077,25,1200,26
404.8994797,0.03699481,25,1200,26
406.6014466,0.037317678,25,1200,26
406.8777237,0.037640796,25,1200,26
407.7624467,0.037964645,25,1200,26
408.4449907,0.038288893,25,1200,26
409.1251466,0.038614057,25,1200,26
408.9917307,0.03894021,25,1200,26
409.670531,0.03926695,25,1200,26
410.5524765,0.039595012,25,1200,26
411.2296405,0.039923182,25,1200,26
411.0944982,0.040251866,25,1200,26
411.772184,0.040580732,25,1200,26
412.4477193,0.040909927,25,1200,26
412.3117079,0.041239747,25,1200,26
412.5818435,0.041569381,25,1200,26
413.8646887,0.04189783,25,1200,26
413.9311108,0.042225759,25,1200,26
414.8088725,0.042553242,25,1200,26
414.8755141,0.042879573,25,1200,26
415.1460901,0.043204494,25,1200,26
416.0242006,0.043527782,25,1200,26
417.9125941,0.043849989,25,1200,26
417.3738251,0.044170226,25,1200,26
417.847235,0.044489121,25,1200,26
418.5244338,0.04480556,25,1200,26
419.2003483,0.045120321,25,1200,26
419.4734456,0.045433696,25,1200,26
419.7455685,0.045745279,25,1200,26
419.8184875,0.04605488,25,1200,26
420.0918386,0.046362685,25,1200,26
420.7711605,0.046668765,25,1200,26
420.6432732,0.046972747,25,1200,26
421.3217177,0.047275744,25,1200,26
421.395508,0.047577792,25,1200,26
422.2768762,0.047878035,25,1200,26
422.553902,0.048177179,25,1200,26
423.4334976,0.04847578,25,1200,26
423.7105046,0.048773577,25,1200,26
424.3891363,0.049070495,25,1200,26
425.0691126,0.049366756,25,1200,26
425.5465883,0.049662882,25,1200,26
426.4250059,0.049958611,25,1200,26
427.1040681,0.050253906,25,1200,26
427.1784035,0.050549176,25,1200,26
427.0520927,0.050844906,25,1200,26
428.9333676,0.051140761,25,1200,26
428.204036,0.051437077,25,1200,26
428.0768461,0.051734152,25,1200,26
428.351372,0.052031427,25,1200,26
428.0235933,0.052329612,25,1200,26
428.6973429,0.052628223,25,1200,26
429.170309,0.052927744,25,1200,26
428.6405106,0.053227244,25,1200,26
428.9131467,0.053527132,25,1200,26
429.1854131,0.053827409,25,1200,26
429.2558746,0.0541286,25,1200,26
428.5262487,0.054429582,25,1200,26
429.1970246,0.054730842,25,1200,26
429.4683574,0.055031968,25,1200,26
429.3388369,0.055333596,25,1200,26
429.8089884,0.055635429,25,1200,26
431.0777221,0.055937202,25,1200,26
430.9476793,0.056238916,25,1200,26
430.8177334,0.056540497,25,1200,26
431.4873602,0.056842356,25,1200,26
432.1553123,0.057143593,25,1200,26
432.0253707,0.05744432,25,1200,26
432.2952983,0.0577442,25,1200,26
432.5637662,0.058043531,25,1200,26
432.8339457,0.058341899,25,1200,26
433.3033091,0.058638929,25,1200,26
433.9716316,0.058934731,25,1200,26
434.0439452,0.059229417,25,1200,26
434.1153493,0.059522572,25,1200,26
434.1870615,0.059814835,25,1200,26
435.2548523,0.060105679,25,1200,26
435.5272637,0.060395176,25,1200,26
436.1967593,0.060683552,25,1200,26
435.4749555,0.060970844,25,1200,26
435.9465254,0.061257389,25,1200,26
435.8219999,0.061543074,25,1200,26
437.6857484,0.06182737,25,1200,26
436.9655602,0.062111558,25,1200,26
437.437294,0.062395186,25,1200,26
437.5114524,0.062678328,25,1200,26
436.9900696,0.062961814,25,1200,26
437.2634138,0.063245419,25,1200,26
437.3372157,0.063529104,25,1200,26
437.8079373,0.06381287,25,1200,26
437.6835856,0.064096943,25,1200,26
437.7579169,0.064382154,25,1200,26
438.4248604,0.064667637,25,1200,26
437.7053233,0.06495373,25,1200,26
438.1736704,0.065240738,25,1200,26
439.0378739,0.065528169,25,1200,26
438.9112974,0.065816515,25,1200,26
439.1791901,0.066105323,25,1200,26
439.0517681,0.066395502,25,1200,26
439.7157557,0.066686599,25,1200,26
439.9818095,0.066978273,25,1200,26
439.8532593,0.067270488,25,1200,26
440.5154363,0.067563583,25,1200,26
441.3724344,0.067857221,25,1200,26
441.4413716,0.068150565,25,1200,26
441.7054819,0.068444185,25,1200,26
442.1676184,0.068737928,25,1200,26
442.8276719,0.069031645,25,1200,26
443.2892194,0.069325182,25,1200,26
442.9609628,0.069618842,25,1200,26
444.0133968,0.069912133,25,1200,26
443.8834227,0.070204902,25,1200,26
444.1481739,0.070496957,25,1200,26
444.018574,0.070788794,25,1200,26
444.2835368,0.071079765,25,1200,26
444.3507898,0.071370212,25,1200,26
445.2060364,0.071660095,25,1200,26
444.6835032,0.071949301,25,1200,26
445.1448855,0.072238095,25,1200,26
445.8024134,0.072525982,25,1200,26
445.8717217,0.072813494,25,1200,26
446.1355972,0.073100593,25,1200,26
446.4010605,0.073387012,25,1200,26
445.8803257,0.073672941,25,1200,26
445.9502246,0.07395857,25,1200,26
446.803169,0.074243555,25,1200,26
446.6759379,0.074528354,25,1200,26
447.136865,0.074813463,25,1200,26
446.6183508,0.075098501,25,1200,26
446.6864122,0.075383849,25,1200,26
446.7543619,0.075669279,25,1200,26
446.8234809,0.075955211,25,1200,26
447.0862839,0.076241339,25,1200,26
447.54554,0.076527664,25,1200,26
447.6137074,0.076814837,25,1200,26
447.875425,0.07710213,25,1200,26
448.3332869,0.077389927,25,1200,26
448.4005342,0.077678267,25,1200,26
448.8578132,0.077966268,25,1200,26
448.5317229,0.078255272,25,1200,26
449.5742302,0.078544284,25,1200,26
449.8355323,0.078832995,25,1200,26
450.2915835,0.079121291,25,1200,26
449.5762674,0.079409516,25,1200,26
449.6414121,0.079697594,25,1200,26
449.3173992,0.079985487,25,1200,26
450.1637925,0.080273001,25,1200,26
450.2290234,0.080560137,25,1200,26
449.70954,0.080847125,25,1200,26
449.3863601,0.081133619,25,1200,26
449.2577335,0.081419887,25,1200,26
448.545332,0.081705276,25,1200,26
448.4172176,0.081990939,25,1200,26
448.0950514,0.082276491,25,1200,26
448.1615581,0.082561239,25,1200,26
447.6446023,0.082845644,25,1200,26
448.1009407,0.083129476,25,1200,26
447.586075,0.083413003,25,1200,26
447.2640406,0.083696148,25,1200,26
447.9159418,0.083978448,25,1200,26
447.9834202,0.084260404,25,1200,26
447.4685486,0.084541745,25,1200,26
447.149289,0.084822508,25,1200,26
447.799594,0.085103235,25,1200,26
447.6739706,0.08538381,25,1200,26
448.519022,0.085663652,25,1200,26
447.0366304,0.085943495,25,1200,26
447.6865435,0.086223223,25,1200,26
447.7549769,0.086502218,25,1200,26
447.4367737,0.086781291,25,1200,26
448.2812259,0.087059591,25,1200,26
448.1565386,0.087337775,25,1200,26
447.8371931,0.087616269,25,1200,26
447.5194939,0.087894646,25,1200,26
447.9755062,0.088172714,25,1200,26
448.043949,0.088450666,25,1200,26
448.4995257,0.088728656,25,1200,26
448.9548826,0.089006491,25,1200,26
449.6039519,0.08928483,25,1200,26
448.8993428,0.089562858,25,1200,26
449.7394104,0.08984077,25,1200,26
450.1937218,0.09011872,25,1200,26
450.2622518,0.090397485,25,1200,26
450.5218224,0.090676134,25,1200,26
451.1689639,0.090954898,25,1200,26
451.2355419,0.091233819,25,1200,26
451.6879766,0.091513206,25,1200,26
452.5261339,0.091792632,25,1200,26
452.2060906,0.092071902,25,1200,26
452.4655284,0.092351407,25,1200,26
453.109151,0.092630678,25,1200,26
453.9459134,0.092909911,25,1200,26
454.781992,0.093189533,25,1200,26
455.0389891,0.093468688,25,1200,26
455.8745905,0.093747493,25,1200,26
456.7097576,0.094026142,25,1200,26
457.7363307,0.094304557,25,1200,26
458.1859036,0.094582309,25,1200,26
459.7884267,0.094859671,25,1200,26
460.2374093,0.095136759,25,1200,26
460.3019026,0.095412949,25,1200,26
461.5185963,0.095688746,25,1200,26
461.9673754,0.095964191,25,1200,26
462.4160159,0.096239322,25,1200,26
462.4817502,0.096514178,25,1200,26
463.6966952,0.096789225,25,1200,26
464.1447637,0.097063528,25,1200,26
464.5926785,0.097337555,25,1200,26
464.0813323,0.097612204,25,1200,26
464.5285697,0.097887046,25,1200,26
464.9757261,0.098161455,25,1200,26
465.2316157,0.098435822,25,1200,26
465.1038995,0.098710381,25,1200,26
464.9764015,0.098984547,25,1200,26
464.658238,0.099258395,25,1200,26
465.1046674,0.099532594,25,1200,26
465.5507806,0.099806867,25,1200,26
465.2310241,0.100081059,25,1200,26
465.8687328,0.1003556,25,1200,26
465.1677914,0.100629864,25,1200,26
465.4215711,0.100903536,25,1200,26
466.249629,0.101176891,25,1200,26
465.3592894,0.101449733,25,1200,26
465.8050095,0.101722335,25,1200,26
466.0588073,0.101994697,25,1200,26
465.9319994,0.10226682,25,1200,26
465.9969885,0.102538702,25,1200,26
466.442283,0.102810501,25,1200,26
467.0774359,0.103082257,25,1200,26
466.9505797,0.103353889,25,1200,26
466.8235766,0.10362591,25,1200,26
467.2677178,0.103898359,25,1200,26
467.140357,0.104170961,25,1200,26
467.2027424,0.104443874,25,1200,26
467.645931,0.104717136,25,1200,26
466.9471639,0.104991063,25,1200,26
466.6291501,0.105265893,25,1200,26
467.2608705,0.105540877,25,1200,26
466.7531168,0.105816055,25,1200,26
465.6741616,0.106091151,25,1200,26
465.3563996,0.106366638,25,1200,26
464.8477852,0.106642398,25,1200,26
463.5802535,0.10691855,25,1200,26
463.8323511,0.107194699,25,1200,26
462.9443891,0.107470648,25,1200,26
463.9550455,0.107746279,25,1200,26
463.448678,0.108022222,25,1200,26
462.5616736,0.108297689,25,1200,26
463.5713887,0.108573547,25,1200,26
464.3913744,0.10884964,25,1200,26
465.0208097,0.109125019,25,1200,26
465.0833126,0.109399959,25,1200,26
466.4694987,0.109674302,25,1200,26
467.477165,0.109948839,25,1200,26
467.538783,0.110223887,25,1200,26
468.5455097,0.110498456,25,1200,26
468.9843374,0.110772863,25,1200,26
469.0443038,0.111047188,25,1200,26
469.861054,0.111321904,25,1200,26
470.2992038,0.111595983,25,1200,26
471.113932,0.111870136,25,1200,26
470.6081186,0.112144048,25,1200,26
471.6121724,0.112417836,25,1200,26
471.8595935,0.112691739,25,1200,26
471.5421317,0.112965637,25,1200,26
471.978989,0.113239492,25,1200,26
471.6617144,0.113513143,25,1200,26
471.5326072,0.113786909,25,1200,26
471.2143353,0.114060154,25,1200,26
471.2749921,0.114333394,25,1200,26
470.9569173,0.11460659,25,1200,26
470.6405079,0.114879542,25,1200,26
471.0771447,0.115152092,25,1200,26
470.196502,0.115424119,25,1200,26
471.0087621,0.115695902,25,1200,26
471.0700043,0.11596736,25,1200,26
470.3780021,0.116238534,25,1200,26
470.8149305,0.116508984,25,1200,26
470.3110546,0.116779667,25,1200,26
470.1840318,0.117049787,25,1200,26
470.8082643,0.11731962,25,1200,26
470.6813576,0.117589207,25,1200,26
471.1180756,0.117858308,25,1200,26
470.8042195,0.118127043,25,1200,26
470.302139,0.118395212,25,1200,26
469.9888718,0.118663372,25,1200,26
470.0500898,0.118931286,25,1200,26
470.2997371,0.119199151,25,1200,26
470.7363302,0.119466808,25,1200,26
470.6105804,0.119733978,25,1200,26
470.6718035,0.120001099,25,1200,26
470.7345198,0.120267892,25,1200,26
470.9825466,0.120534756,25,1200,26
471.045106,0.120801491,25,1200,26
470.3579861,0.121068097,25,1200,26
470.9808082,0.121334414,25,1200,26
471.2300726,0.121600642,25,1200,26
471.4778286,0.121866741,25,1200,26
471.1656091,0.122133391,25,1200,26
471.7873191,0.122399912,25,1200,26
471.6617504,0.122666102,25,1200,26
471.7238742,0.122932525,25,1200,26
471.5983687,0.123198617,25,1200,26
472.5937036,0.123463858,25,1200,26
472.6543826,0.12372953,25,1200,26
472.1552677,0.123994831,25,1200,26
472.2176762,0.124259842,25,1200,26
472.6520285,0.124525123,25,1200,26
472.7127215,0.124790314,25,1200,26
472.9609496,0.125055013,25,1200,26
471.7174566,0.125319702,25,1200,26
472.5235666,0.125583978,25,1200,26
474.0754505,0.125847923,25,1200,26
473.9505904,0.126111334,25,1200,26
473.4547025,0.126373929,25,1200,26
473.8888172,0.126636513,25,1200,26
473.9500863,0.126898965,25,1200,26
474.7564681,0.127161244,25,1200,26
474.4451255,0.12742335,25,1200,26
474.5077998,0.127685162,25,1200,26
474.5693449,0.127946277,25,1200,26
474.6311182,0.128206776,25,1200,26
474.8796172,0.12846714,25,1200,26
475.3132446,0.128727492,25,1200,26
475.1896907,0.128987468,25,1200,26
475.994879,0.129247472,25,1200,26
475.3145802,0.129506937,25,1200,26
475.9329935,0.12976647,25,1200,26
475.80963,0.130025707,25,1200,26
476.0576859,0.130284931,25,1200,26
475.7479847,0.1305441,25,1200,26
475.6246116,0.130803458,25,1200,26
476.799747,0.131062075,25,1200,26
477.0461231,0.131320557,25,1200,26
476.7379488,0.131579308,25,1200,26
476.4301782,0.131837478,25,1200,26
476.8626237,0.132095513,25,1200,26
477.6639629,0.132353695,25,1200,26
476.9857593,0.132611499,25,1200,26
477.7882602,0.132869085,25,1200,26
477.1105186,0.133126455,25,1200,26
477.3578777,0.133384012,25,1200,26
477.2350115,0.133641433,25,1200,26
476.3723236,0.133898393,25,1200,26
475.6956391,0.134155501,25,1200,26
476.4973598,0.134412432,25,1200,26
474.8974453,0.134669104,25,1200,26
474.2217587,0.134925801,25,1200,26
473.9157285,0.13518297,25,1200,26
472.686844,0.135440124,25,1200,26
472.7495215,0.135696817,25,1200,26
472.2602934,0.135953494,25,1200,26
471.5860633,0.136210034,25,1200,26
471.4651439,0.136466477,25,1200,26
471.7122256,0.136722173,25,1200,26
471.2241097,0.136977852,25,1200,26
471.2877104,0.137232784,25,1200,26
472.2724523,0.137487496,25,1200,26
473.0731986,0.137741866,25,1200,26
472.7682983,0.137995446,25,1200,26
474.4890443,0.138249375,25,1200,26
475.4724026,0.13850288,25,1200,26
476.2706771,0.138755839,25,1200,26
477.4382205,0.139008413,25,1200,26
478.2358719,0.139260644,25,1200,26
479.953946,0.139512286,25,1200,26
480.5674012,0.139764196,25,1200,26
481.7316802,0.140015679,25,1200,26
482.161535,0.140266817,25,1200,26
482.9587891,0.140517815,25,1200,26
484.3062742,0.14076855,25,1200,26
484.5509806,0.141019061,25,1200,26
484.9799984,0.141269309,25,1200,26
485.2256457,0.141519987,25,1200,26
485.8367464,0.141770932,25,1200,26
486.6321307,0.142021001,25,1200,26
486.3275286,0.142271377,25,1200,26
486.3883996,0.142521979,25,1200,26
487.1826829,0.142772603,25,1200,26
487.2435448,0.143022594,25,1200,26
486.9394293,0.143272034,25,1200,26
487.1832649,0.143521087,25,1200,26
487.6109111,0.143769956,25,1200,26
487.1247331,0.144018682,25,1200,26
488.64948,0.144267224,25,1200,26
487.613332,0.144516074,25,1200,26
488.0404019,0.144764781,25,1200,26
488.8332738,0.145013221,25,1200,26
488.3461877,0.145261314,25,1200,26
488.4072401,0.145509386,25,1200,26
488.4697719,0.145757109,25,1200,26
488.8963353,0.146005017,25,1200,26
488.9573659,0.146252576,25,1200,26
489.2018361,0.146499868,25,1200,26
489.0811266,0.146746646,25,1200,26
489.8714386,0.14699328,25,1200,26
489.3872958,0.147239113,25,1200,26
489.9957652,0.147484718,25,1200,26
490.4223608,0.147729848,25,1200,26
490.1204779,0.147974875,25,1200,26
490.0003909,0.14821992,25,1200,26
490.426958,0.148464286,25,1200,26
490.4886976,0.14870871,25,1200,26
490.0043647,0.148953113,25,1200,26
490.6135166,0.149197245,25,1200,26
489.7652222,0.149441273,25,1200,26
489.8285157,0.149685279,25,1200,26
489.3447641,0.149929549,25,1200,26
488.6797164,0.150174168,25,1200,26
488.5604635,0.150418229,25,1200,26
487.8962166,0.150662142,25,1200,26
488.1406578,0.150906734,25,1200,26
488.0212278,0.151151427,25,1200,26
488.2641202,0.151395973,25,1200,26
487.9638777,0.151640084,25,1200,26
488.2081313,0.151884296,25,1200,26
488.6330631,0.152128815,25,1200,26
489.0578485,0.152373146,25,1200,26
488.7559721,0.152617785,25,1200,26
489.180422,0.152862194,25,1200,26
489.2430262,0.153106622,25,1200,26
489.3042629,0.153350945,25,1200,26
489.5472175,0.153595865,25,1200,26
489.0647332,0.153840596,25,1200,26
488.582345,0.154085552,25,1200,26
487.7391574,0.154330197,25,1200,26
488.5253496,0.154574611,25,1200,26
488.0434935,0.154819293,25,1200,26
487.9240636,0.155064035,25,1200,26
487.2619293,0.155309125,25,1200,26
486.7804787,0.155554152,25,1200,26
486.8429407,0.155799073,25,1200,26
486.1816222,0.156043847,25,1200,26
486.0629658,0.156287935,25,1200,26
486.4859692,0.15653258,25,1200,26
486.9089485,0.156776786,25,1200,26
486.970222,0.157020846,25,1200,26
486.8516408,0.157264383,25,1200,26
487.2743689,0.157508105,25,1200,26
487.1555749,0.157751928,25,1200,26
487.398292,0.157995146,25,1200,26
487.6396426,0.15823809,25,1200,26
487.3414505,0.158480845,25,1200,26
488.4844563,0.158723409,25,1200,26
489.0877629,0.15896574,25,1200,26
489.1494531,0.15920705,25,1200,26
489.7514695,0.15944821,25,1200,26
489.8143886,0.159689262,25,1200,26
490.0553553,0.159930538,25,1200,26
491.3774526,0.160171623,25,1200,26
491.0797007,0.160412349,25,1200,26
491.8599948,0.160653134,25,1200,26
492.1023355,0.160892644,25,1200,26
492.3442977,0.161132628,25,1200,26
491.8665804,0.161371836,25,1200,26
491.9281291,0.161611185,25,1200,26
492.5299235,0.161850633,25,1200,26
491.8732627,0.162089804,25,1200,26
491.5750646,0.162329158,25,1200,26
492.3557405,0.162568152,25,1200,26
491.3402076,0.162807037,25,1200,26
491.4033765,0.16304556,25,1200,26
490.9272081,0.163283473,25,1200,26
491.3485224,0.163521401,25,1200,26
490.8727082,0.163758968,25,1200,26
490.3984291,0.163996549,25,1200,26
490.2821106,0.164233769,25,1200,26
490.8820351,0.164471254,25,1200,26
490.5871263,0.164708001,25,1200,26
490.8281751,0.164945055,25,1200,26
490.8919795,0.165181747,25,1200,26
491.4916241,0.165418119,25,1200,26
490.8384589,0.165654588,25,1200,26
491.0809366,0.165890653,25,1200,26
490.9651192,0.166126523,25,1200,26
490.6695283,0.16636249,25,1200,26
490.911895,0.166598345,25,1200,26
491.3321719,0.166834758,25,1200,26
491.7522557,0.167071102,25,1200,26
492.529866,0.167307585,25,1200,26
492.5919063,0.167543454,25,1200,26
493.9052433,0.167778833,25,1200,26
494.3243432,0.168014897,25,1200,26
495.0994128,0.168250849,25,1200,26
496.0534863,0.16848673,25,1200,26
496.4717356,0.168722709,25,1200,26
497.0691364,0.168958491,25,1200,26
498.3780046,0.16919391,25,1200,26
498.7956346,0.169429258,25,1200,26
499.0350294,0.169664997,25,1200,26
499.4519224,0.169901002,25,1200,26
499.6909368,0.170136852,25,1200,26
499.0388586,0.17037238,25,1200,26
499.4558132,0.170607501,25,1200,26
498.6251299,0.170842972,25,1200,26
498.8643338,0.171078161,25,1200,26
497.8570081,0.171312816,25,1200,26
497.9189003,0.171547696,25,1200,26
497.8018728,0.171782757,25,1200,26
496.9726517,0.172017746,25,1200,26
497.034837,0.172252202,25,1200,26
497.0956262,0.172486669,25,1200,26
496.979311,0.172720686,25,1200,26
497.218895,0.172954547,25,1200,26
497.6356897,0.173188083,25,1200,26
497.6962717,0.173422349,25,1200,26
497.9352077,0.17365667,25,1200,26
497.8184336,0.173891214,25,1200,26
497.7022055,0.174124716,25,1200,26
498.2952319,0.174358272,25,1200,26
497.8236711,0.174591799,25,1200,26
498.062592,0.174825253,25,1200,26
498.4782028,0.175058761,25,1200,26
498.7167493,0.175292324,25,1200,26
498.9537366,0.175526069,25,1200,26
498.8370952,0.175759869,25,1200,26
498.5435738,0.175994103,25,1200,26
498.4266575,0.176228646,25,1200,26
499.0177723,0.176462695,25,1200,26
498.9009854,0.176696756,25,1200,26
499.3153938,0.176930279,25,1200,26
499.0222535,0.177163941,25,1200,26
498.7293855,0.177397277,25,1200,26
498.965865,0.17763054,25,1200,26
